index	jar_name	mod_id	mod_name	mod_version
113	craftedcore-5.8.2.jar	craftedcore	CraftedCore	5.8.2
114	CrashAssistant-neoforge-1.20.6-1.21.4-1.11.12.jar	crash_assistant	Crash Assistant	1.11.12
115	Create Quality of Life-1.21.1-1.6.3-fix1.jar	createqol	Create Quality of Life	1.6.3-fix1
116	create-1.21.1-6.0.10.jar	create	Create	6.0.10
117	create-aeronautics-bundled-1.21.1-1.3.2.jar	aeronautics_bundled	Create Aeronautics	1.3.2
118	create-central-kitchen-2.6.0.jar	create_central_kitchen	Create: Central Kitchen	2.6.0
119	create-confectionery1.21.1_v1.1.3b.jar	create_confectionery	Create Confectionery	1.1.3.
120	create-enchantment-industry-2.5.3b.jar	create_enchantment_industry	Create: Enchantment Industry	2.5.3b
121	Create-Guardian-Beam-Defense-1.3.7.1b-1.21.1-neoforge.jar	creategbd	Create Guardian Beam Defense	1.3.7.1b
122	create-gunsmithing-1.21.1-1.4.9.jar	cgs	Create: Gunsmithing	1.4.9
123	create-integrated-farming-1.4.1b.jar	create_integrated_farming	Create: Integrated Farming	1.4.1b
124	create-new-age-1.2.0+neoforge-mc1.21.1.jar	create_new_age	Create: New Age	1.2.0+mc1.21.1
125	create-stuff-additions1.21.1_v2.1.4b.jar	create_sa	Create Stuff 'N Additions	2.1.4.
126	Create-Utilities-J-1.21.1-0.3.4+1.21.1.jar	createutilities	Create Utilities J	0.3.4+1.21.1
127	create_aero_radar-0.1.1-1.21.1.jar	create_aero_radar	Create Aero Radar	0.1.1-1.21.1
128	create_aeronautics_automated_logistics-0.6.2.jar	create_aeronautics_automated_logistics	Create Aeronautics: Automated Logistics	0.6.2
129	create_aeronautics_ftb_chunks-1.21.1-NeoForge-1.1.1.jar	create_aeronautics_ftb_chunks	Create Aeronautics: FTB Chunks	1.1.1
130	create_aeronautics_throwable_rope_connector-0.4.3.jar	create_aeronautics_throwable_rope_connector	Create Aeronautics: Throwable Rope Connector	0.4.3
131	create_aeronautics_toolgun-0.3.6.jar	create_aeronautics_toolgun	Create Aeronautics: Toolgun	0.3.6
132	create_aeronautics_transmission_linkage-0.2.8.jar	aeronautics_utility_objects	Create Aeronautics: Transmission & Linkage	0.2.8
133	create_aquatic_ambitions-1.21.1-2.0.4.jar	create_aquatic_ambitions	Create Aquatic Ambitions	2.0.4
134	create_bb-1.0.8-1.21.1.jar	create_bb	Create: Blocks & Bogies	1.0.8
135	create_blaze_burner_fuels-1.0.2-neoforge-1.21.1.jar	create_blaze_burner_fuels	Create: Blaze Burner Fuels	1.0.2
136	create_cold_sweat-1.1.2.jar	create_cold_sweat	Create: Cold Sweat	1.1.2
137	create_colony_logistics-1.3.2.jar	cclogistics	Create Colony Logistics	1.3.2
138	create_connected-1.3.3-mc1.21.1.jar	create_connected	Create: Connected	1.3.3-mc1.21.1
139	create_cuisine-1.0.0-mc1.21.1-neoforge.jar	create_cuisine	Create: Arm-made Cuisine	1.0.0
140	create_curios_backtank-neoforge-1.21.1-1.0.1.jar	create_curios_backtank	Create: Curios Backtank	1.0.1
141	create_deep_dark-3.0.2-neoforge-1.21.1.jar	create_deep_dark	Create: Deep Dark	3.0.2
142	create_enchantment_industry_plus-1.1.1-1.21.1.jar	create_enchantment_industry_plus		1.1.1
143	create_factory-0.7b-1.21.1.jar	create_factory	Create: Factory	0.7b-1.21.1
144	create_fantasizing-1.21.1-1.2.0-b3.jar	create_fantasizing	Create: Fantasizing Again	1.2.0-b3
145	create_furnitures-1.1.2-neoforge-1.21.1.jar	create_furnitures	Create : Furnitures	1.1.2
146	create_jetpack-forge-5.2.1.jar	create_jetpack	Create Jetpack	5.2.1
147	create_jetpack_curios-1.2.0-neoforge-1.21.1.jar	create_jetpack_curios	Create: Jetpack Curios	1.2.0
148	create_mechanical_spawner-1.21.1-1.3.2-6.0.10.jar	create_mechanical_spawner	Create: Mechanical spawner	1.3.1-6.0.10
149	create_mf-0.1.3-neoforge-1.21.1.jar	create_mf	Create: More Features	0.1.3
150	create_mobile_packages-1.21.1-0.7.7.jar	create_mobile_packages	Create: Mobile Packages	0.7.7
